,Combiner Box Schedule,Parallel Source Circuit Detail,# of PV Modules Per PV Source Circuit,# Of PV Source Circuits Per Parallel Source Circuit,1500 VDC Fuse Rating Per PV Source Circuit (A),# Of Parallel Source Circuits Per Combiner Box,1500 VDC Fuse Rating Per Parallel Source Circuit Harness (A),# Of PV Source Circuits Per Combiner Box,Average PV Module Power (W),# Of PV Modules Per Combiner Box,Combiner Box Power (kW),DC/AC Ratio (Based on 3600kW Nominal),1500 VDC Fuse Rating Per PV Combiner Output (A),DC Combiner Box Rating (A),PV Combiner Output Conductor Size and Type,Maximum Voltage (V),Operating Voltage (V),Max. Short Circuit Current (A),Operating Current (A),CB Length (ft),Power Loss From Combiner To Inverter,Power Loss Percentage From Combiner To Inverter,Power Loss Percentage From Average Harness To Combiner,Total
0,1.01,A,6,14,5,6,55,84,475,504,239.4,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,425.00,828.46,0.35%,1.63%,1.98%
1,1.02,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,362.00,1254.49,0.39%,1.63%,2.02%
2,1.03,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,298.00,1032.70,0.32%,1.63%,1.95%
3,1.04,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,234.00,810.91,0.25%,1.63%,1.88%
4,1.05,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,170.00,589.13,0.18%,1.63%,1.81%
5,1.06,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,106.00,367.34,0.12%,1.63%,1.74%
6,1.07,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,74.00,256.44,0.08%,1.63%,1.71%
7,1.08,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,104.00,360.41,0.11%,1.63%,1.74%
8,1.09,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,168.00,582.19,0.18%,1.63%,1.81%
9,1.1,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,232.00,803.98,0.25%,1.63%,1.88%
10,1.11,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,296.00,1025.77,0.32%,1.63%,1.95%
11,1.12,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,360.00,1247.56,0.39%,1.63%,2.02%
12,1.13,A,6,14,5,6,55,84,475,504,239.4,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,424.00,826.51,0.35%,1.63%,1.97%
0,2.01,A,6,14,5,6,55,84,475,504,239.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,393.00,766.08,0.32%,1.63%,1.95%
1,2.02,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,330.00,1143.60,0.36%,1.63%,1.99%
2,2.03,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,266.00,921.81,0.29%,1.63%,1.92%
3,2.04,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,202.00,700.02,0.22%,1.63%,1.85%
4,2.05,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,138.00,478.23,0.15%,1.63%,1.78%
5,2.06,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,74.00,256.44,0.08%,1.63%,1.71%
6,2.07,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,72.00,249.51,0.08%,1.63%,1.71%
7,2.08,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,136.00,471.30,0.15%,1.63%,1.78%
8,2.09,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,200.00,693.09,0.22%,1.63%,1.85%
9,2.1,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,264.00,914.88,0.29%,1.63%,1.92%
10,2.11,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,328.00,1136.67,0.36%,1.63%,1.99%
11,2.12,A,6,14,5,6,55,84,475,504,239.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,392.00,764.13,0.32%,1.63%,1.95%
12,2.13,A,6,14,5,4,55,104,475,624,296.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,490.95,1466.99,0.49%,1.46%,1.96%
13,2.13,B,6,12,5,4,55,104,475,624,296.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,490.95,1466.99,0.49%,1.46%,1.96%
0,3.01,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.03,1459.06,0.46%,1.63%,2.09%
1,3.02,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,358.03,1240.73,0.39%,1.63%,2.02%
2,3.03,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,294.03,1018.94,0.32%,1.63%,1.95%
3,3.04,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.11,1459.33,0.46%,1.63%,2.09%
4,3.05,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.11,1459.33,0.46%,1.63%,2.09%
5,3.06,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,102.03,353.58,0.11%,1.63%,1.74%
6,3.07,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,51.97,180.10,0.06%,1.63%,1.69%
7,3.08,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,99.97,346.44,0.11%,1.63%,1.74%
8,3.09,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.06,1459.16,0.46%,1.63%,2.09%
9,3.1,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.06,1459.16,0.46%,1.63%,2.09%
10,3.11,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,291.97,1011.81,0.32%,1.63%,1.95%
11,3.12,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,355.97,1233.59,0.39%,1.63%,2.02%
