string_id,module_equipment_id,modules_per_string,strings_per_combiner,dc_line_to_combiner_stc,combiner_device_id,racking_controls_gcr,racking_equipment_id,racking_device_id,pcs_module_id,dc_line_to_inverter_stc,pcs_equipment_id,pcs_device_id,transformer_equipment_id,transformer_device_id,block_device_id,circuit_device_id,met_name
0,20,18.0,20.0,0.0049,308,0.324,2,-999,-999,0.0143,2,108,-999,58,8,3,1.4
1,20,18.0,20.0,0.0049,309,0.324,2,-999,-999,0.012,2,108,-999,58,8,3,1.4
2,20,18.0,20.0,0.0049,310,0.324,2,-999,-999,0.0098,2,108,-999,58,8,3,1.4
3,20,18.0,24.0,0.0049,311,0.324,2,-999,-999,0.007,2,108,-999,58,8,3,1.4
4,20,18.0,24.0,0.0049,312,0.324,2,-999,-999,0.0043,2,108,-999,58,8,3,1.4
5,20,18.0,24.0,0.0049,313,0.324,2,-999,-999,0.0019,2,108,-999,58,8,3,1.4
6,20,18.0,24.0,0.0049,314,0.324,2,-999,-999,0.0034,2,108,-999,58,8,3,1.4
7,20,18.0,24.0,0.0049,315,0.324,2,-999,-999,0.006,2,108,-999,58,8,3,1.4
8,20,18.0,24.0,0.0049,316,0.324,2,-999,-999,0.0087,2,108,-999,58,8,3,1.4
9,20,18.0,20.0,0.0049,317,0.324,2,-999,-999,0.0111,2,108,-999,58,8,3,1.4
10,20,18.0,20.0,0.0049,318,0.324,2,-999,-999,0.0132,2,108,-999,58,8,3,1.4
11,20,18.0,8.0,0.0049,319,0.324,2,-999,-999,0.0132,2,108,-999,58,8,3,1.4
12,20,18.0,20.0,0.0049,320,0.324,2,-999,-999,0.0139,2,108,-999,58,8,3,1.4
13,20,18.0,20.0,0.0049,321,0.324,2,-999,-999,0.0117,2,108,-999,58,8,3,1.4
14,20,18.0,20.0,0.0049,322,0.324,2,-999,-999,0.0094,2,108,-999,58,8,3,1.4
15,20,18.0,20.0,0.0049,323,0.324,2,-999,-999,0.0073,2,108,-999,58,8,3,1.4
16,20,18.0,24.0,0.0049,324,0.324,2,-999,-999,0.0049,2,108,-999,58,8,3,1.4
17,20,18.0,24.0,0.0049,325,0.324,2,-999,-999,0.0026,2,108,-999,58,8,3,1.4
18,20,18.0,24.0,0.0049,326,0.324,2,-999,-999,0.0026,2,108,-999,58,8,3,1.4
19,20,18.0,24.0,0.0049,327,0.324,2,-999,-999,0.0053,2,108,-999,58,8,3,1.4
20,20,18.0,24.0,0.0049,328,0.324,2,-999,-999,0.0079,2,108,-999,58,8,3,1.4
21,20,18.0,20.0,0.0049,329,0.324,2,-999,-999,0.0107,2,108,-999,58,8,3,1.4
22,20,18.0,20.0,0.0049,330,0.324,2,-999,-999,0.013,2,108,-999,58,8,3,1.4
23,20,18.0,20.0,0.0049,331,0.324,2,-999,-999,0.0123,2,109,-999,59,9,3,1.4
24,20,18.0,20.0,0.0049,332,0.324,2,-999,-999,0.0126,2,109,-999,59,9,3,1.4
25,20,18.0,24.0,0.0049,333,0.324,2,-999,-999,0.0098,2,109,-999,59,9,3,1.4
26,20,18.0,24.0,0.0049,334,0.324,2,-999,-999,0.007,2,109,-999,59,9,3,1.4
27,20,18.0,24.0,0.0049,335,0.324,2,-999,-999,0.0043,2,109,-999,59,9,3,1.4
28,20,18.0,24.0,0.0049,336,0.324,2,-999,-999,0.0019,2,109,-999,59,9,3,1.4
29,20,18.0,24.0,0.0049,337,0.324,2,-999,-999,0.0034,2,109,-999,59,9,3,1.4
30,20,18.0,24.0,0.0049,338,0.324,2,-999,-999,0.006,2,109,-999,59,9,3,1.4
31,20,18.0,24.0,0.0049,339,0.324,2,-999,-999,0.0087,2,109,-999,59,9,3,1.4
32,20,18.0,24.0,0.0049,340,0.324,2,-999,-999,0.0115,2,109,-999,59,9,3,1.4
33,20,18.0,24.0,0.0049,341,0.324,2,-999,-999,0.0114,2,109,-999,59,9,3,1.4
34,20,18.0,16.0,0.0049,342,0.324,2,-999,-999,0.0137,2,109,-999,59,9,3,1.4
35,20,18.0,16.0,0.0049,343,0.324,2,-999,-999,0.0125,2,109,-999,59,9,3,1.4
36,20,18.0,16.0,0.0049,344,0.324,2,-999,-999,0.0138,2,109,-999,59,9,3,1.4
37,20,18.0,21.0,0.0049,345,0.324,2,-999,-999,0.0131,2,109,-999,59,9,3,1.4
38,20,18.0,24.0,0.0049,346,0.324,2,-999,-999,0.0117,2,109,-999,59,9,3,1.4
39,20,18.0,24.0,0.0049,347,0.324,2,-999,-999,0.0081,2,109,-999,59,9,3,1.4
40,20,18.0,24.0,0.0049,348,0.324,2,-999,-999,0.0045,2,109,-999,59,9,3,1.4
41,20,18.0,23.0,0.0049,349,0.324,2,-999,-999,0.0025,2,109,-999,59,9,3,1.4
42,20,18.0,24.0,0.0049,350,0.324,2,-999,-999,0.0049,2,109,-999,59,9,3,1.4
43,20,18.0,24.0,0.0049,351,0.324,2,-999,-999,0.0083,2,109,-999,59,9,3,1.4
44,20,18.0,24.0,0.0049,352,0.324,2,-999,-999,0.0119,2,109,-999,59,9,3,1.4
45,20,18.0,20.0,0.0049,353,0.324,2,-999,-999,0.0123,2,110,-999,60,10,3,1.4
46,20,18.0,20.0,0.0049,354,0.324,2,-999,-999,0.0126,2,110,-999,60,10,3,1.4
47,20,18.0,24.0,0.0049,355,0.324,2,-999,-999,0.0098,2,110,-999,60,10,3,1.4
48,20,18.0,24.0,0.0049,356,0.324,2,-999,-999,0.007,2,110,-999,60,10,3,1.4
49,20,18.0,24.0,0.0049,357,0.324,2,-999,-999,0.0045,2,110,-999,60,10,3,1.4
50,20,18.0,24.0,0.0049,358,0.324,2,-999,-999,0.0019,2,110,-999,60,10,3,1.4
51,20,18.0,24.0,0.0049,359,0.324,2,-999,-999,0.0034,2,110,-999,60,10,3,1.4
52,20,18.0,24.0,0.0049,360,0.324,2,-999,-999,0.006,2,110,-999,60,10,3,1.4
53,20,18.0,24.0,0.0049,361,0.324,2,-999,-999,0.0087,2,110,-999,60,10,3,1.4
54,20,18.0,24.0,0.0049,362,0.324,2,-999,-999,0.0115,2,110,-999,60,10,3,1.4
55,20,18.0,24.0,0.0049,363,0.324,2,-999,-999,0.0114,2,110,-999,60,10,3,1.4
56,20,18.0,16.0,0.0049,364,0.324,2,-999,-999,0.0125,2,110,-999,60,10,3,1.4
57,20,18.0,16.0,0.0049,365,0.324,2,-999,-999,0.0138,2,110,-999,60,10,3,1.4
