string_id,combiner_device_id,combiner_name_long,module_equipment_id,modules_per_string,strings_per_combiner,racking_equipment_id,racking_device_id,racking_controls_gcr,dc_line_to_combiner_stc,dc_line_to_inverter_stc,pcs_module_device_id,pcs_device_id,pcs_name_short,pcs_equipment_id,transformer_device_id,transformer_equipment_id,block_device_id,circuit_device_id,met_name
0,403,1.01,2,6,84,2,-999,0.415,1.63,0.35,,121,1,0,121,0,27,,1
1,404,1.02,2,6,112,2,-999,0.415,1.63,0.39,,121,1,0,121,0,27,,1
2,405,1.03,2,6,112,2,-999,0.415,1.63,0.32,,121,1,0,121,0,27,,1
3,406,1.04,2,6,112,2,-999,0.415,1.63,0.25,,121,1,0,121,0,27,,1
4,407,1.05,2,6,112,2,-999,0.415,1.63,0.18,,121,1,0,121,0,27,,1
5,408,1.06,2,6,112,2,-999,0.415,1.63,0.12,,121,1,0,121,0,27,,1
6,409,1.07,2,6,112,2,-999,0.415,1.63,0.08,,121,1,0,121,0,27,,1
7,410,1.08,2,6,112,2,-999,0.415,1.63,0.11,,121,1,0,121,0,27,,1
8,411,1.09,2,6,112,2,-999,0.415,1.63,0.18,,121,1,0,121,0,27,,1
9,412,1.1,2,6,112,2,-999,0.415,1.63,0.25,,121,1,0,121,0,27,,1
10,413,1.11,2,6,112,2,-999,0.415,1.63,0.32,,121,1,0,121,0,27,,1
11,414,1.12,2,6,112,2,-999,0.415,1.63,0.39,,121,1,0,121,0,27,,1
12,415,1.13,2,6,84,2,-999,0.415,1.63,0.35,,121,1,0,121,0,27,,1
13,416,2.01,2,6,84,2,-999,0.415,1.63,0.32,,122,2,0,122,0,28,,1
14,417,2.02,2,6,112,2,-999,0.415,1.63,0.36,,122,2,0,122,0,28,,1
15,418,2.03,2,6,112,2,-999,0.415,1.63,0.29,,122,2,0,122,0,28,,1
16,419,2.04,2,6,112,2,-999,0.415,1.63,0.22,,122,2,0,122,0,28,,1
17,420,2.05,2,6,112,2,-999,0.415,1.63,0.15,,122,2,0,122,0,28,,1
18,421,2.06,2,6,112,2,-999,0.415,1.63,0.08,,122,2,0,122,0,28,,1
